YEAR,Labor Force,Employment,Emp/Pop,Unemployed,Unemp Rate,LFPART
May-93,"3,306.90","2,965.70",50.5,341.1,10.3,56.3
Jun-93,"3,303.70","2,968.80",50.5,334.9,10.1,56.2
Jul-93,"3,301.50","2,969.90",50.5,331.6,10,56.1
Aug-93,"3,299.40","2,969.00",50.5,330.5,10,56.1
Sep-93,"3,297.60","2,967.30",50.4,330.3,10,56
Oct-93,"3,296.10","2,966.00",50.4,330.1,10,56
Nov-93,"3,296.10","2,966.20",50.4,329.8,10,55.9
Dec-93,"3,297.40","2,969.00",50.4,328.4,10,56
Jan-94,"3,298.80","2,974.00",50.5,324.8,9.8,56
Feb-94,"3,298.70","2,979.80",50.6,318.9,9.7,56
Mar-94,"3,296.60","2,985.00",50.6,311.6,9.5,55.9
Apr-94,"3,292.70","2,988.70",50.7,304,9.2,55.8
May-94,"3,287.80","2,991.00",50.7,296.7,9,55.7
Jun-94,"3,283.10","2,992.80",50.7,290.3,8.8,55.6
Jul-94,"3,280.40","2,995.80",50.8,284.6,8.7,55.6
Aug-94,"3,279.50","3,000.60",50.8,278.9,8.5,55.5
Sep-94,"3,279.30","3,006.40",50.9,272.9,8.3,55.5
Oct-94,"3,278.40","3,012.30",51,266.2,8.1,55.5
Nov-94,"3,276.70","3,017.30",51,259.4,7.9,55.4
Dec-94,"3,275.00","3,020.50",51.1,254.4,7.8,55.4
Jan-95,"3,273.60","3,020.70",51.1,252.9,7.7,55.3
Feb-95,"3,273.10","3,018.60",51,254.5,7.8,55.3
Mar-95,"3,274.10","3,015.80",51,258.3,7.9,55.3
Apr-95,"3,277.80","3,014.20",50.9,263.5,8,55.4
May-95,"3,284.60","3,015.70",50.9,268.9,8.2,55.5
Jun-95,"3,293.30","3,020.10",51,273.2,8.3,55.6
Jul-95,"3,302.50","3,026.20",51.1,276.3,8.4,55.7
Aug-95,"3,311.00","3,032.70",51.1,278.3,8.4,55.8
Sep-95,"3,317.50","3,038.30",51.2,279.2,8.4,55.9
Oct-95,"3,321.80","3,042.50",51.2,279.3,8.4,55.9
